,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
10627,Patak's,5011308002400,Patak's Madras Spice Paste,279.0,1168.0,7.0,1.3,23.1,1.7,4.4,,4.7,1.88,3.0,,20.15
10628,"Sanpellegrino,San Pellegrino,Nestlé",8002270018213,Natural mineral water,,,,,,,,,83.25,33.3,,0.0,0.0
10629,Mondariz,8412042502381,,,,,,,,,,119.0,47.6,1.0,0.0,0.0
10630,Aldi,4088600107813,Scottish Seeded Oatcakes,443.0,1855.0,52.0,0.9,19.0,6.2,11.0,10.0,1.1,0.44,3.0,11.0,0.0
10631,Haribo,4001686322840,Goldbären,343.0,1459.0,77.0,46.0,0.5,0.1,6.9,,0.07,0.028,4.0,17.0,6.17637038230896
10632,"Alesto ( Lidl ), Lidl",20948399,Pumpkin Seeds,615.0,2550.0,1.4,1.4,48.5,6.0,38.5,9.7,0.93,0.372,,-6.0,0.0
10633,Panzani,3038359012600,Torti au blé complet,348.0,1474.0,65.0,3.5,2.8,0.5,13.0,5.5,0.0,0.0,1.0,-3.0,0.0
10634,Kingsmill,5010092093045,Bread,95.0,,18.2,1.5,0.8,0.2,3.2,1.1,0.3725,0.149,4.0,4.0,0.703125
10635,"Harvest Basket,Lidl",20829735,Pommes Frites,184.0,,31.8,0.5,3.9,0.4,3.7,3.4,0.475,0.19,4.0,2.0,0.0
10636,Alka,5949499042069,Pretzels with olives,466.0,,65.0,1.5,18.0,2.8,9.6,2.8,5.25,2.1,3.0,27.0,15.4333333333333
10637,Sainsbury's,00181402,Fresh whole milk,66.0,,4.7,4.7,3.7,2.4,3.5,0.5,0.1075,0.043,1.0,4.0,0.0
10638,Tilda,5011157671222,Brown Basmati Rice,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10639,Mulino Bianco,8076809582155,Cracker salati con lievito madre mulino bianco,336.0,1407.0,40.0,0.8,14.0,2.2,6.3,8.3,1.9,0.76,3.0,10.0,1.978125
10640,Coop,5000128783279,Sliced Tiger Bloomer,245.0,1038.0,48.0,2.6,1.4,0.5,8.8,2.6,0.91,0.364,4.0,4.0,11.71875
10641,Walkers,5000328373362,Wotsits,494.0,,46.2,7.2,31.9,0.5,5.4,0.2,0.26,0.104,4.0,7.0,11.9565217391304
10642,Activia,5060360506104,Activia yougurt,91.0,,12.2,12.0,2.9,1.9,3.9,,0.14,0.056,4.0,4.0,13.25
10643,Crownfield,4056489627159,Barrre de céréales chocolat noir,404.0,,65.3,22.4,11.8,5.0,6.7,5.7,0.51,0.204,4.0,14.0,0.305
10644,Essentials Waitrose & Partners,5000169049112,Porridge Oats,367.0,1543.0,56.1,1.0,8.4,1.3,12.1,9.1,0.03,0.012,1.0,-5.0,0.0
10645,Lidl,20803377,5 whole grains and rice microwaveable,155.0,654.0,26.4,0.1,2.9,0.6,4.1,3.5,0.23,0.092,4.0,,0.0
10646,Aldi,4088600227351,Quixo gravy granules,16.0,,1.5,0.0,1.0,0.6,0.1,0.1,0.3925,0.157,4.0,,0.0887784090909065
10647,Rakusen's of Yorkshire,5010112000053,Matzos: Flame Baked Crackers,357.0,1513.0,79.0,2.8,1.0,0.2,10.0,4.3,0.015,0.006,3.0,-2.0,0.0
10648,,5000295143630,Spreadable,596.0,,0.3,0.3,66.0,27.8,0.3,0.0,1.3,0.52,2.0,20.0,25.0
10649,Waitrose,5000169251201,Tahini,664.0,2744.0,4.4,0.7,58.2,9.0,26.7,7.9,0.03,0.012,1.0,11.0,0.0
10650,Oxo,5000175411118,Chicken,283.0,,46.8,16.5,4.1,1.0,13.5,,24.4875,9.795,4.0,27.0,0.0
10651,U,3256229256651,Céréales Muesli croustillant chocolat noir paquet 500g,448.0,1878.0,62.0,21.0,16.0,4.4,9.7,8.4,0.13,0.052,4.0,10.0,0.0
10652,Filippo Berio,8002210501201,Olive oil,822.0,,0.0,,91.3,16.0,0.0,,,,,,0.0
10653,Batchelors,5000175409078,Cup a Soup Cream of Vegetable,52.0,209.0,7.8,0.9,2.0,1.4,0.5,0.5,0.41,0.164,4.0,,7.41
10654,liebig,3036815425520,Poule vermicelles & petits légumes,19.0,,3.2,0.2,0.1,0.0,1.2,0.2,0.72,0.288,4.0,3.0,3.62
10655,St. Dalfour,0084380957444,Strawberry Fruit Spread,40.0,,10.0,10.0,0.0,,0.0,,0.005,0.002,4.0,11.0,90.625
10656,"Pipers, Trade Mark",5033060100057,Pipers Lye cross cheddar & onion crisps,533.0,2227.0,56.1,1.5,30.8,3.5,6.2,3.3,1.55,0.62,4.0,15.0,0.0
10657,"Frank Cooper's,The Pantry",5035660138775,Frank Cooper's 'Oxford' Original Oxford Marmalade,,1079.0,62.8,53.7,0.0,0.0,0.2,,0.199898,0.0799592,4.0,18.0,20.8333333333333
10658,Rivercote,20891305,Sweet Chilli Rice Crackers,108.0,,21.0,1.375,1.8,0.4,1.8,0.25,0.65,0.26,4.0,19.0,0.0
