,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g
0,Sidi Ali,6111035000430,Sidi Ali,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0
1,Jaouda,6111242100992,Perly,97.0,406.0,9.4,,3.0,,8.0,,,,3.0,,0.0
2,sidi ali,6111035002175,Sidi Ali,,,,,,,,,65.0,26.0,,0.0,0.0
3,"Les Eaux Minérales d'oulmès,Sidi Ali",6111035000058,Eau minérale naturelle,,,,,,,,,65.0,26.0,1.0,0.0,0.0
4,AQUAFINA,6111252421568,اكوافينا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,,0.0,0.0
5,Jaouda,6111266962187,Lait,45.0,188.0,4.9,0.0,1.5,1.0,3.1,,0.225,0.09,3.0,-3.0,0.0
6,Cristaline,3274080005003,Eau De Source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0
7,MILKY FOOD PROFESSIONAL,6111246721261,Fromage blanc nature,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,3.0,-2.0,0.0
8,Jaouda,6111242101180,uht jaouda 1L,58.0,,4.8,0.0,3.0,0.0,3.0,,0.0,0.0,1.0,-1.0,0.0
9,Jaouda,6111242106949,Jben,235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,4.0,11.0,0.0
10,Danone,6111128000071,Ain Saïss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,Ain atlas,6111035502828,Eau minéral naturelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
12,Sidi Ali,6111035000027,6111035000027,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0065,0.0026,,0.0,0.0
13,"Marmite,Unilever",50184453,Marmite Yeast Extract,260.0,1100.0,30.0,1.2,0.5,0.1,34.0,,10.8,4.32,4.0,23.0,0.734863281249993
14,Jaouda,6111242100985,,101.0,,4.2,0.0,6.0,0.0,7.6,0.0,0.0,0.0,1.0,-2.0,0.0
15,centrale danone,6111032009665,Lait Frais,45.0,,4.8,0.0,1.5,1.0,3.0,,0.0,0.0,1.0,-3.0,0.0
16,lilia,6111099003897,,675.0,,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,,18.0,0.0
17,Coca-Cola,5449000054227,Original Taste,42.0,180.0,10.6,10.6,0.0,0.0,0.0,,0.0,0.0,4.0,12.0,0.0
18,pepsi,6111252421582,اكوافينا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
19,Lu,7622210449283,Prince Goût Chocolat,467.0,1962.0,69.0,32.0,17.0,5.6,6.3,4.0,0.49,0.196,4.0,20.0,6.80681818181818
20,Lindt&Sprüngli,3046920029759,Lindt Excellence 90%,200.0,,9.0,2.0,16.0,10.0,4.0,5.0,0.0,0.0,3.0,14.0,0.0
21,Lindt EXCELLENCE,3046920028004,INTENSE DARK,566.0,2350.0,34.0,30.0,41.0,24.0,9.5,,0.1,0.04,3.0,25.0,0.0
22,Les eaux minérales d'Oulmès S.A.,6111035003035,Oulmes natural carbonated water,,,,,,,,,0.78375,0.3135,,0.0,0.0
23,Ferrero,3017620425035,Nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,4.0,31.0,13.0
24,Coca cola,5449000147417,Orange juice,39.0,165.0,9.3,17.0,0.0,0.0,0.0,5.0,0.126,0.0504,4.0,15.0,22.7272727272727
25,Bimo,6111031005064,Tonik,116.0,487.0,16.5,9.2,5.1,2.5,1.0,0.1,0.05,0.02,2.0,28.0,0.0
26,,6111180000231,levure pâtisserie,183.0,766.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
27,Danone,6111128000163,Ain Saiss Eau Minerale Naturelle,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
28,Gerblé,3175680011480,Sésame,467.0,1961.0,64.0,17.0,18.0,2.0,10.0,4.6,0.38,0.152,4.0,9.0,10.8
29,Délicia,6111162000839,Confiture de fraise,250.0,1062.0,61.33,63.0,0.3,,0.5,,,,3.0,,75.0
30,Eau minérale naturelle des Montagnes d'Atlas,6111035001659,Ain Atlas,,,,,,,,,0.0,0.0,,0.0,0.0
31,Jaouda,6111242100206,Yaourt nature,78.5,330.0,8.0,0.0,3.3,2.4,4.2,0.0,0.0,0.0,3.0,1.0,0.0
32,Gullón,8410376009392,zero sin azúcares Fibra,431.0,1802.0,65.0,0.5,17.0,1.7,6.1,9.3,0.65,0.26,4.0,2.0,0.0
33,Lindt,3046920028363,Excellence 85% Cacao Rich Dark,584.0,2418.0,22.0,14.0,46.0,27.0,12.5,,0.02,0.008,3.0,20.0,0.0
34,Eau minérale naturelle,6111035001635,Ain Atlas,0.0,,0.0,0.0,0.0,0.0,0.0,,120.0,48.0,,0.0,0.0
35,Star,6111184004129,Mayonnaise recette originale,592.0,2435.4,0.22,0.05,65.21,9.8,1.12,,1.75,0.7,4.0,12.0,0.0
36,Jason’s,5025125000006,Sourdough White Ciabattin Bread,237.0,,40.2,1.4,2.7,0.3,10.7,4.7,0.97,0.388,3.0,0.0,0.0
37,Alpro,5411188112709,Geröstete Mandel Ohne Zucker,15.0,61.0,0.0,0.0,1.1,0.1,0.5,0.3,0.15,0.06,4.0,1.0,2.3
38,aïn Saiss,6111128000460,,,,,,,,,,0.02,0.008,1.0,0.0,0.0
39,J.D. Gross,20995553,Chocolat noir - 85% cacao,72.0,,2.7,1.6,5.8,3.5,1.4,,0.00375,0.0015,4.0,20.0,0.0
40,Cristaline,3268840001008,CRISTALINE Eau De Source 0.5L,0.0,0.0,0.0,,0.0,0.0,,,0.00476,0.001904,1.0,0.0,0.0
41,Ferrero,3017620422003,Nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,4.0,31.0,13.0
42,Jason's,5025125000112,The Great White Sourdough,107.0,,20.9,0.9,0.3,0.1,4.4,1.3,0.355,0.142,3.0,2.0,0.0
43,Alesto,20005733,,712.0,,3.7,0.9,69.1,2.0,15.5,2.0,0.01,0.004,1.0,-6.0,100.0
44,Jason's,5025125000037,Sourdough Grains & Seeds,237.0,,40.2,1.4,2.7,0.3,10.7,4.7,0.89,0.356,3.0,0.0,0.0
45,la Hollandaise,6111203006653,Cheddar,270.0,,6.0,6.0,21.0,12.0,9.0,,1.5,0.6,4.0,18.0,0.0
46,"Alesto,Lidl",20724696,Mandeln,621.0,,4.8,4.8,53.3,4.3,24.5,12.1,2.5e-05,1e-05,1.0,-10.0,100.0
47,Star,6111184001562,Star Branded Iodized Salt,,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,39.6,2.0,,0.0
48,Star,6111184004730,Ketchup star 310 g,108.0,418.0,25.7,22.36,0.08,0.0,1.12,0.0,0.00555,0.00222,,7.0,0.0
49,COSUMAR,6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,400.0,1700.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0
50,Alesto,20267605,Cashewkerne,180.0,,5.9,1.68,14.3,2.7,6.2,1.6,0.009,0.0036,,-5.0,0.0
51,Henry's,3362600011044,Henry’s,440.0,,76.4706,24.2353,10.8235,5.2941,7.6471,2.3529,0.882353,0.3529412,4.0,21.0,0.0
52,Danone,6111032001003,Assil,95.5,399.0,14.0,9.0,2.7,1.8,3.4,2.0,0.0,0.0,,3.0,0.0
53,Salim,6111032000600,Salim,58.0,,4.8,,3.0,2.0,3.0,,,,1.0,,
54,Coca-Cola,5449000214911,Coca-Cola,42.0,180.0,10.6,10.6,0.0,0.0,0.0,,0.0,0.0,4.0,12.0,0.0
55,jaouda,6111242100305,Cremy,109.0,,16.9,2.0,3.0,0.4,3.6,,0.0,0.0,4.0,0.0,0.0
56,THE COCA-COLA COMPANY,5449000061515,Ciel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,1.0,0.0,0.0
57,Ciel,42104964,Ciel 33cl,0.0,,0.0,0.0,0.0,0.0,0.0,,0.13,0.052,,0.0,0.0
58,Maruja,8425197712024,,539.0,,53.0,50.0,33.0,25.0,7.2,,0.275,0.11,4.0,31.0,2.67857142857143
59,Danone,6111128000088,ain saiss 50cl,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
60,Original,6111246721278,Cream cheese,257.0,1061.0,3.1,0.0,18.0,0.0,10.0,0.0,0.0,0.0,3.0,-1.0,0.0
61,Lurpak,5740900404465,Spreadable Slightly Salted,706.0,,0.6,0.6,78.0,35.0,0.5,,0.885,0.354,2.0,20.0,22.5
62,BAHIA,6111035003523,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,Oulmès,6111035003004,Oulmes Eau Gazeuse,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,783.75,313.5,,0.0,0.0
64,Green & Black's,7622210578464,Organic 70% Dark Chocolate Bar,580.0,2428.0,36.0,29.0,42.0,25.0,9.1,10.0,0.01,0.004,3.0,20.0,0.0
65,jibal,6111246954461,jibal jben,138.0,572.0,6.14,3.5,11.5,7.7,2.5,,0.8,0.32,4.0,12.0,0.0
66,Excelo,6111259343108,KING COOKIES,483.0,,61.5,32.0,24.0,12.0,5.2,,0.27,0.108,,26.0,0.0
67,Nestlé,6111018903161,Nescafé Classic,,,,,,,,,,,,,0.0
68,Danone,6111032006619,Jamila رايبي,72.0,,12.4,9.0,1.7,1.1,1.9,0.0,0.0,0.0,4.0,12.0,0.0
69,Aïn lfrane,6111251420166,Eau,0.0,,0.0,0.0,0.0,0.0,0.0,,3e-06,1.2e-06,1.0,0.0,0.0
70,Aquafina,6111252421575,Aquafina 50cl,1.0,,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.04,1.0,0.0,0.0
71,solis,8445290615350,sauce tomate cuisinée,34.0,,3.8,2.2,0.2,0.0,0.8,1.0,0.5,0.2,4.0,3.0,77.8284090909091
72,Coca-Cola,5449000214799,Coke Zero,0.3,1.3,0.0,0.0,0.0,0.0,0.0,,0.01,0.004,4.0,4.0,0.0
73,Henry's,3362600011228,Sable coco Henry s 42g,186.0,,31.0,10.0,5.2,3.0,3.2,1.0,0.3775,0.151,4.0,22.0,10.6
74,HEINZ,5000157024671,BEANZ In a rich tomato sauce,81.0,,15.5,4.3,0.4,,4.8,3.9,0.59,0.236,4.0,,95.3309206558096
75,Aïn Atlas,6111035001673,Aïn Atlas 50cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.048,1.0,0.0,0.0
76,"Alesto,Alesto Lidl,Alesto Selection,Lidl",20047238,,646.0,2705.0,6.4,4.2,58.0,6.4,20.4,8.5,0.01,0.004,1.0,10.0,100.0
77,ALPRO,5411188124689,Hafer Milch,40.0,,5.8,0.0,1.5,0.2,0.2,1.2,0.25,0.1,4.0,1.0,0.0
78,Oatly,7394376616228,Oat Drink Barista Edition,61.0,,7.1,3.4,3.0,0.3,1.1,0.8,0.0975,0.039,3.0,7.0,5.0
79,Dost,6111250470742,Lait U.H.T entier,58.0,,4.8,,3.0,,3.0,,,,1.0,,0.0
80,la Prairie,6111203001467,margarine la prairie 225g,635.0,2659.0,0.7,0.0,70.0,0.0,1.0,0.0,0.7,0.28,4.0,3.0,0.0
81,wasa,7300400481595,Tartine croustillante Authentique,336.0,1415.0,62.0,1.0,1.5,0.4,9.0,19.0,1.0,0.4,3.0,0.0,0.0
82,Lindt,3046920022651,Excellence Noir Intense 70% Cacao,566.0,2350.0,35.0,30.0,41.0,24.0,9.5,,0.02,0.008,3.0,25.0,0.0
83,,6111037000599,Familia 200g,532.0,2224.0,0.2,0.0,60.0,21.0,0.2,5.0,0.0,0.0,4.0,9.0,0.0
84,Star,6111184001661,Star vinaigre de table BLANC,1.0,,0.15,0.15,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0
85,Gervais,6111032008583,,137.0,,11.7,7.2,7.0,4.8,7.0,,0.5,0.2,,7.0,0.0
86,Rigoni Di Asiago,8052575090230,Nocciolata,544.0,2270.0,54.0,51.0,32.0,5.7,8.1,3.6,0.12,0.048,4.0,24.0,18.5
87,Bonne Maman,3608580065340,Pâte à tartiner noisettes et cacao,551.0,2299.0,53.0,51.0,34.0,5.2,6.7,3.3,0.1,0.04,4.0,24.0,25.0
88,Tyrrell's,5060042641000,Lightly sea salted crisps,476.0,,49.0,0.64,27.0,2.4,6.2,5.5,0.83,0.332,3.0,8.0,0.0
89,Weetabix,5010029000016,Weetabix,136.0,,26.0,1.6,0.8,0.2,4.5,3.8,0.0975,0.039,3.0,-3.0,0.0
90,Green and black,7622210584724,Dark chocolate,607.0,2512.0,24.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0
91,Volvic,3057640257773,Eau Minérale Naturelle,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,1.0,0.0,0.0
92,joly,6111162001218,Filets de maquereau,180.0,,0.6,0.6,8.5,1.5,30.1,,0.5,0.2,3.0,-2.0,0.0
93,Lindt,3046920022606,Excellence Noir Puissant 85% Cacao,584.0,2418.0,22.0,15.0,46.0,27.0,12.5,0.0,0.02,0.008,3.0,21.0,0.0
94,Primevère,3155251205296,Tartine Doux,495.0,2033.0,0.0,0.0,55.0,15.0,0.0,,0.4,0.16,4.0,8.0,0.2
95,sos,6111251753912,611251753912,73.0,303.0,8.7,2.3,3.3,0.4,1.3,1.4,0.83,0.332,,4.0,0.0
96,سلطان,6111248360130,Aïn Soltane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
97,8dh,6111003031107,,180.0,,0.6,0.16,6.4,1.5,30.1,,0.5,0.2,3.0,-2.0,0.0
98,Bjorg,3229820100234,Fourrés Chocolat Noir,481.0,2017.0,65.0,27.0,20.0,6.9,7.6,5.3,0.49,0.196,4.0,18.0,0.0
99,El Baraka,6111184001074,Confiture De Fraises 430 G,256.0,1087.0,63.0,62.0,0.5,0.1,0.5,0.5,0.02,0.008,4.0,17.0,56.0
100,fin CARRÉ,20022464,NOIR INTENSE 74% CACAO,114.0,,6.4,5.2,8.4,5.2,2.0,2.5,0.01,0.004,4.0,19.0,0.0
101,Ciel,5449000206770,Eau de table,,,0.0,0.0,0.0,0.0,0.0,0.0,62.5,25.0,,0.0,0.0
102,Star,6111184001197,,563.0,,0.0,0.0,62.0,7.0,1.2,,5.0,2.0,,33.0,0.0
103,"Jardin Bio, Léa Nature",3760020507350,Pur beurre de cacahuète,625.0,2591.0,12.0,5.1,50.0,9.7,29.0,5.5,0.0,0.0,1.0,-5.0,100.0
104,"Hawai,Coca cola",5449000036872,Hawai Tropical,41.0,,10.0,9.5,0.0,0.0,0.0,4.0,0.026,0.0104,,10.0,0.0
105,Jaouda,6111242100220,Lait Entier UHT,58.0,243.0,4.8,4.2,3.63,2.4,3.0,,0.0,0.0,1.0,4.0,0.0
106,Kikkoman,8715035110106,Sojasauce,77.0,325.0,3.0,0.6,0.0,0.0,10.0,,16.9,6.76,3.0,20.0,0.0
107,Yoplait,3329770077003,Skyr nature 0%,57.0,,3.6,3.6,0.105,0.065,9.5,0.0,0.1375,0.055,3.0,-2.0,0.0
108,Kallo,5013665100065,Organic Lightly Salted Wholegrain Low Fat Rice Cakes,28.0,,5.6,0.0,0.2,0.1,0.6,,0.0,0.0,3.0,2.0,0.0
109,Star,6111184000619,Mayonnaise,592.0,,0.22,0.05,65.21,9.8,1.12,,1.75,0.7,,12.0,0.0
110,green tea,6923818812082,Green Tea,0.5,200.0,0.5,0.2,0.5,0.5,0.5,0.2,0.1,0.04,,3.0,
111,La Boulangère,3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,297.0,1246.0,37.0,4.2,9.6,1.0,12.0,7.2,0.96,0.384,4.0,0.0,0.48
112,lio,6111099000599,,900.0,3768.0,0.0,0.0,100.0,14.0,0.0,0.0,,,2.0,,
113,Rigoni di Asiago,8052575090254,Nocciolata bio,544.0,,54.0,51.0,32.0,5.7,8.1,3.6,0.12,0.048,4.0,24.0,18.5
114,JASON'S,5025125000129,JASON'S SOURDOUGH 07 SUPERB SPROUTED GRAINS,233.0,,44.8,2.6,1.1,0.2,9.3,3.6,0.855,0.342,3.0,2.0,0.0
115,Wasa,7300400481588,FIBRES,333.0,1397.0,47.0,2.0,5.0,1.0,12.0,26.0,1.2,0.48,3.0,0.0,0.0
116,Krisprolls,7311070032611,Krisprolls complets sans sucres ajoutés,400.0,1687.0,68.0,1.1,6.6,0.9,13.0,8.3,1.1,0.44,4.0,0.0,7.6
117,Jacquet,3029330022428,14 Maxi Tranches complet sans sucres ajoutés,243.0,1026.0,42.0,3.8,3.0,0.3,8.7,6.6,1.2,0.48,4.0,2.0,0.0
118,Henry’s,3362600011006,Henry’s,374.0,,65.0,20.6,9.2,4.5,6.5,2.0,0.75,0.3,4.0,21.0,0.0
119,Delicia,6111162000716,Confiture d'abricot,272.0,,67.36,50.0,0.0,0.0,0.41,,0.0,0.0,3.0,15.0,66.6666666666667
120,Barilla,8076809513753,PESTO alla GENOVESE,492.0,2030.0,11.0,5.0,47.0,5.3,4.7,3.0,3.2,1.28,4.0,27.0,45.205078125
121,alpro,5411188110835,Mandelmilch mit Zucker,22.0,93.0,2.4,2.4,1.1,0.1,0.4,0.4,0.14,0.056,4.0,4.0,3.44999999999997
122,Quaker,3168930010265,cruesly mélange de noix,462.0,1913.0,57.0,12.0,19.0,2.0,8.5,10.0,0.0,0.0,4.0,1.0,10.7
123,Excelo,6111259341197,Momo black,497.0,2073.0,70.0,27.0,21.0,9.9,7.0,,0.32,0.128,4.0,23.0,0.0
124,Poulain,16256163,poulain,522.0,2181.0,60.0,59.0,28.0,5.1,5.4,3.5,0.1,0.04,4.0,25.0,18.75
125,Star,6111184007618,,385.56,,20.9,16.0,33.0,2.57,1.31,,2.2,0.88,,20.0,0.0
126,Heinz,50457236,Tomato Ketchup,15.0,,3.5,3.4,0.0,,0.2,,0.148125,0.05925,3.0,9.0,62.168
127,"LU, Mondelēz, Tuc, Mondelez",5410041001204,Original,482.0,2021.0,67.0,7.1,19.0,9.0,8.3,2.4,1.7,0.68,4.0,24.0,0.0
128,,6111251420135,Aïn Ifrane,0.0,,,,,,,,0.75,0.3,1.0,0.0,0.0
129,Idéal,6111180000392,,392.0,,97.6,89.4,0.0,0.0,0.0,0.6,0.0,0.0,2.0,19.0,0.0
130,"Ferrero, Nutella",3017620429484,Nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,,0.107,0.0428,4.0,31.0,13.0
131,"Bimo,Mondelez",6111031005552,Merendino,410.0,1717.0,55.0,39.0,20.0,12.0,4.0,1.8,0.51,0.204,4.0,28.0,0.0
132,"Nutella,Ferrero",8000500310427,Biscuits croquants au coeur onctueux de Nutella®,515.0,2158.0,64.0,35.8,24.8,11.5,7.9,,0.559,0.2236,4.0,28.0,13.0
133,Danone,6111032001010,DANONE ASSIL BANANE,95.5,,14.0,9.0,2.8,1.9,3.5,2.0,0.0,0.0,,3.0,0.0
134,Lilia,6111099005396,مارغرين المائدة,675.0,2826.0,0.2,0.0,75.0,34.0,0.1,0.0,0.5,0.2,4.0,18.0,0.0
135,Poulain,16256866,1848 Chocolat en poudre,515.0,,63.0,61.0,26.0,7.74,7.1,1.0,0.245,0.098,4.0,16.0,0.0
136,"Centrale, Danone, Jebli",6111206000733,Jebli,225.0,,6.9,0.0,19.0,13.0,6.5,0.0,0.76,0.304,4.0,13.0,0.0
137,el baraka,6111184000213,El Baraka Confiture D'abricots 430 G,244.0,,60.5,50.0,0.0,0.0,0.44,0.0,0.25,0.1,4.0,17.0,50.0
138,"Nestlé,Nestlé Waters,San Pellegrino",8002270014901,S. Pellegrino Water,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
139,"Ferrero,Nutella",59032823,nutella,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,3.5,0.107,0.0428,4.0,30.0,13.0
140,Nescafe,6111018501480,Nescafé,8.0,,1.2,1.2,0.2,0.1,0.1,,0.025,0.01,,,0.0
141,Primevère,3155250358788,Primevère bio doux tartine & cuisson,485.0,2037.0,0.0,0.0,55.0,14.0,0.0,0.0,0.4,0.16,4.0,8.0,49.1083333333333
142,Marigold,50160884,Vegan Bouillon powder,240.0,1011.0,30.8,4.0,8.3,0.9,9.6,,43.8,17.52,3.0,,11.7676282051282
143,EXCELO,6111259340992,Eyoo cover,452.0,2122.0,55.0,0.0,23.0,0.0,6.0,,0.0,0.0,4.0,4.0,0.0
144,Jaouda,6111242100930,raibi jaoda,75.3,,13.58,13.5,1.38,0.8,2.48,0.0,0.0,0.0,,12.0,0.0
145,"Danone,La Salvetat",3068320123264,La salvetat,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.5,5.0,4.0,0.0,0.0
146,"Tendre, jouda",6111242102781,Tendre nature,119.0,4.0,14.3,9.0,5.0,4.2,4.2,0.0,0.0,0.0,3.0,5.0,0.0
147,Milbona Lidl,4056489148739,NATURAL YOGURT,158.0,,5.8,5.5,12.5,8.4,5.1,0.6,0.1275,0.051,1.0,7.0,0.0
148,Jaouda,6111242103702,Yaourt Grec Muesli,140.0,584.0,16.1,9.0,7.0,4.0,3.3,,0.0,0.0,3.0,5.0,8.0
149,"Ekibio,Le pain des Fleurs",06175700,Tartines craquantes au sarrasin imp,388.0,1631.0,75.0,2.6,2.8,0.6,13.4,4.4,0.68,0.272,3.0,0.0,0.0
150,Ryvita,5010265002911,Dark Rye Crispbread,37.0,,7.1,0.3,0.12,0.02,1.1,1.52,0.074,0.0296,3.0,-2.0,0.0
151,Danone,6111032008453,Danino,132.2,554.1,12.3,8.6,6.3,4.3,6.5,,0.07,0.028,,5.0,0.0
152,Coca-Cola,5449000131805,Coca-Cola Zero,0.2,0.9,0.0,,0.0,,0.0,,0.02,0.008,4.0,4.0,0.0
153,Andros,3608580124047,Be Nuts ! - Pâte à tartiner Cacahuète,614.0,2545.0,20.0,15.0,49.0,9.0,21.0,4.4,0.7,0.28,4.0,9.0,81.0
154,,6111214004747,Pipas,520.0,2177.0,38.9,1.65,29.0,3.36,24.6,2.7,0.059,0.0236,3.0,-5.0,0.0
155,Gerblé,3175681851849,Pomme 🍏 🍎 Noisette🥜,453.0,1902.0,62.0,11.0,17.0,1.5,9.8,6.6,0.01,0.004,4.0,1.0,26.35
156,Coca-Cola,54491472,"coca cola 0,5",44.0,185.0,10.9,10.9,0.0,,0.0,,,,4.0,,0.0
157,"Elle & Vire, Savencia",3451790988677,Le Beurre Tendre Doux,744.0,3060.0,0.8,0.8,82.0,57.0,0.7,0.0,0.05,0.02,2.0,20.0,0.0
158,Weetabix,5010029000801,Family Pack,362.0,1531.0,69.0,4.2,2.0,0.6,12.0,10.0,0.28,0.112,3.0,-3.0,0.0
159,Jaouda,6111242101050,LBEN CARTON PASTEURISER,45.0,,4.8,0.0,1.3,0.9,3.2,0.0,0.0,0.0,,-4.0,0.0
160,CROWNFIELD,20003166,Aveia em flocos finos Lidl,149.0,,23.5,0.3,2.8,0.5,5.4,4.0,0.01,0.004,1.0,-5.0,0.0
161,Kallø,5013665112273,Organic Vegetable Stock Cubes,7.0,27.0,0.7,0.3,0.4,0.2,0.0,0.01,0.9,0.36,3.0,,6.8
162,Albane,6111250012416,Le bon lait,46.0,194.0,4.9,0.0,1.5,1.0,3.0,,0.0,0.0,1.0,-3.0,0.0
163,Alpro,5411188115366,Oat,45.0,,6.3,3.2,1.5,0.2,0.8,1.4,0.0002,8e-05,4.0,5.0,0.0
164,Wicked Kitchen,10596975,4 Garlic & Herb Kebabs,212.954110898662,,6.1,1.6,12.4,6.3,18.6,1.5,0.885,0.354,,,62.5
165,Aperitivos company,6111252860077,Trios,534.0,,54.0,54.0,32.1,32.1,5.2,,2.0,0.8,4.0,40.0,0.0
166,,6111245591063,Dalaa 550 feuilles,,,,,,,,,,,,,0.0
167,Jaouda,6111242100817,Le Lait demi écrémé,45.0,189.0,4.9,0.0,1.5,1.0,3.1,,0.0,0.0,,-4.0,0.0
168,"J.D. Gross,Lidl",20095291,Dark Chocolate 70%,68.0,,4.0,3.4,5.0,3.1,1.1,1.5,0.01,0.004,4.0,19.0,0.0
169,Bjorg,3229820019307,Flocons d'avoine,362.0,1524.0,58.0,1.7,7.1,1.3,11.0,11.0,0.02,0.008,1.0,-4.0,0.0
170,The Tofoo Co.,5034467000216,Tofoo Naked,144.359464627151,,1.1,0.1,7.8,1.2,16.5,1.9,0.06,0.024,3.0,-4.0,36.0
171,Ferrero,80176800,,533.333333333333,,57.3333333333333,56.0,30.6666666666667,10.6666666666667,6.0,0.0,1066.66666666667,426.666666666668,4.0,36.0,13.0
172,Chergui,6111126003821,Lait Frais 15 jours,59.0,,4.9,0.0,3.0,0.0,3.1,,0.0,0.0,1.0,-2.0,0.0
173,Bahia,6111035003509,"Bahia, Eau De Table",0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
174,Elle & Vire,3480341000674,Carré Frais,85.0,,4.5,2.9,0.3,0.2,16.0,,1.2775,0.511,3.0,1.0,0.0
175,margafrique,6111203001474,La prairie classique,635.0,,0.7,0.0,70.0,0.0,1.0,,0.0,0.0,4.0,0.0,0.0
176,Nature Valley,8410076801180,Crunchy oats & honey,196.2,,27.0,11.295,7.605,0.9,3.6,2.7,0.3555,0.1422,4.0,13.0,0.0
177,Ferrero,4008400401621,nutella,80.0,,8.6,8.4,4.6,1.6,0.9,,0.015,0.006,4.0,31.0,13.0
178,,6111032000631,Salim,58.0,,,4.8,3.0,2.0,3.0,,,,,,0.0
179,"Kinder,Kinder Bueno",80052760,2 Bars Milk and Hazelnuts,572.0,2384.0,49.5,41.2,37.3,17.3,8.6,2.0,0.272,0.1088,4.0,30.0,10.5
180,Jaouda,6111242102002,Ghilal Yaourt zr3,106.0,4.0,16.0,7.5,3.0,2.2,3.5,1.1,0.0,0.0,4.0,3.0,0.0
181,Gerblé,3251490332080,Figue & son,450.0,1883.0,54.0,16.0,19.0,1.7,9.3,13.0,0.19,0.076,4.0,2.0,16.3
182,Gerblé,3175680015228,Levure de bière,323.0,1356.0,12.0,1.2,4.6,0.8,46.0,25.0,0.32,0.128,1.0,,0.0
183,Bjorg,3229820160672,Croustillant Chocolat,433.0,,62.0,14.0,14.0,3.8,9.8,9.8,0.28,0.112,4.0,7.0,0.21875
184,Coca-Cola,5449000133328,,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.008,4.0,4.0,0.0
185,Coca-Cola,5449000131836,Zero Sugar,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.02,4.0,4.0,0.0
186,"La Boulangère,La Boulangère Bio",3760049790214,Pain De Mie Bio,268.0,1131.0,47.0,6.3,4.2,0.4,8.1,4.9,1.1,0.44,4.0,4.0,3.15
187,"Lidl, Rowan Hill Bakery, Lidl Rowan Hill Bakery, Lidl Tastino",20006105,Wholegrain Rye Bread,117.0,,21.3,2.2,1.0,0.2,3.2,5.2,0.56,0.224,4.0,0.0,0.0
188,Lindt&Sprüngli,3046920028721,Bitter Extra Kraftig,282.5,,4.5,0.2,25.5,14.5,7.0,,0.03,0.012,3.0,13.0,0.0
