brands,code,product_name
jaouda,6.11124E+12,ghilal yaourt zr3
gerble,3.25149E+12,figue  son
gerble,3.17568E+12,levure de biere
bjorg,3.22982E+12,croustillant chocolat
cocacola,5.449E+12,zero sugar
la boulangerela boulangere bio,3.76005E+12,pain de mie bio
lidl rowan hill bakery lidl rowan hill bakery lidl tastino,20006105,wholegrain rye bread
lindtsprungli,3.04692E+12,bitter extra kraftig
hovis,5.01E+12,seed sensations
parmentier,3.01908E+12,sardines huile dolive vierge extra
cocacola,5.449E+12,cocacola
lesieur,6.11102E+12,huile de table equilibree riche en vitamines aed3
nestle,7.61304E+12,nestle dessert
be,6.11126E+12,petit beurre
mont roucous,3.25797E+12,eau minerale naturelle
pasquier,3.25654E+12,pains au lait x10
ferreronutella,8.0005E+12,nutella
milka,3.04514E+12,chocolat au lait
heinz,50457250,tomato ketchup
star,6.11118E+12,moutarde 1050 g
new york bakery co,5.02036E+12,bakery co 5 the original bagels
cocacola,42105220,coca cola
yeo valley organic,5.03659E+12,yeo valley organic kefir natural fermented yogurt
nestle ricore,3.03371E+12,ricore original
la boulangere,3.28423E+12,brioche tranchee bio 400g
jaouda,6.11124E+12,croissance reduit en sucre
mondelez international,7.6222E+12,philadelphia
jaouda,6.11124E+12,beurre frais pasteurise
les eaux minerales doulmes,6.11104E+12,eau minerale naturelle gazeuse
orangina schweppes francepulcoschweppes international limited,3.22535E+12,pulco citron
heinz,87157215,tomato ketchup
fairglobe,40896243,bio chocolat noir cacao 70
heinz,50457243,tomato ketchup
hellmanns,8.7227E+12,real mayonnaise
excelo,6.11126E+12,king cookies choco
bertolli,8.7192E+12,vegetable fat spread with 10 olive oil
barilla,8.07681E+12,pesto rosso
sunny via,3.08854E+12,sirop dagave
ellevire,3.48034E+12,carre frais  nature
hellmanns,8.71811E+12,mayonnaise
peripella,6.11125E+12,peripella
alpro,5.41119E+12,vanille au soja
ethiquable,3.76009E+12,beurre bio cacahuete
weetabix,5.01003E+12,weetabix produit a base de ble complet 100
vemondo,4.05649E+12,bio lait damande
fage,5.20105E+12,5 greek yogurt
harvest morn,4.0886E+12,36 wheat bisks
tesco,5.05797E+12,rye  mixed seed sourdough bread
cocacola company,90382383,cappy pulpy
la fournee doree,3.58722E+12,la gache tranchee
lindt,3.04692E+12,excellence noir subtil doux 70 cacao
bolbol,6.11125E+12,bol bol ketchup
ideal,6.11126E+12,tranches au gout cheddar
st hubert,3.36632E+12,st hubert bio  vegetal
pringles,5.05399E+12,sour cream  onion
star,6.11118E+12,assaisonnement aromatise au citron
bjorg,3.22982E+12,muesli raisin figue abricot
nestle,7.61304E+12,nesquik
nestle maggi,3.03371E+12,arome maggi
menguys,3.32727E+12,menguys peanut 100
maple joe,3.08854E+12,sirop derable ambre gout riche
la boulangere,3.76005E+12,tartines campagne 450g
ferrero,4.0084E+12,nutella
jaouda,6.11124E+12,muscly la force pour grandir
dark excellente,8.41051E+12,chocolat noir 92 cacao
maitre jean pierre lidl,4.05649E+12,pain de mie grandes tranches special sandwich complet
specially selected,4.0886E+12,seeded sourdough bread
lu mondelez international,7.62221E+12,granola loriginal
lotus,5.41013E+12,biscoff creamy
jaouda,6.11124E+12,pressup orange 1l
aicha,6.11102E+12,concentre de tomates aicha
olla,6.11125E+12,olla
lu lu,3.04109E+12,cracotte cereales completes
alestolidl,20815394,fruit  nut mix
jordans,5.01048E+12,special muesli 30 fruits  noix
rowse,5.01127E+12,runny honey imp
tesco finest,5.0597E+12,ecuador dark chocolate
arla,4.01624E+12,skyr  natural fat free  0 fat
kettle,5.01776E+12,chips
artesto,8.1987E+12,pate darachide
pringles,5.05399E+12,pringles sare
flora,8.7192E+12,flora buttery
barillawasa,7.3004E+12,wasa
nestle,7.61304E+12,ricore original
milbona pilos,20047559,greek style yogurt
henrys,3.3626E+12,henrys sable coco biscuit 85g
lu,3.04109E+12,cracotte
gerble,3.17568E+12,biscuit raisins
heinz,5.00016E+12,seriously good times mayonnaise
nestle,7.61329E+12,nesquik cocoa
bjorg,3.22982E+12,nutri avoine chocolat
pringles,5.05399E+12,pringles original
bn,3.06199E+12,biscuits gout chocolat
jasons,5.02513E+12,everyday white rolls
kallo,5.01367E+12,organic chicken stock cubes 8 pack
bonne maman,3.04532E+12,strawberry jam
mcvities,5.00017E+12,digestives
harrys,3.22886E+12,harrys brioche tressee nature au sucre perle sans additifs 500g
quaker,5.00011E+12,quaker rolled oats
maille,8.72018E+12,maille moutarde fine de dijon loriginale bocal 360g
jardin bio,6153153,tartines craquantes quinoa  pois chiche
nature valley,8.41008E+12,protein cacahuetes  chocolat
whole earth,5.01367E+12,crunchy peanut butter
jibal,6.11125E+12,jibal
alesto lidl lidl alesto,20202392,brazil nuts
le fromage fouette madame loik paysan breton,3.41229E+12,paysan breton  le fromage fouette madame loik  nature au sel de guerande
delicia,6.11116E+12,delicia double concentre de tomates
vip,6.11125E+12,vip crema gold
kallo,5.01367E+12,lightly salted low fat corn cakes
menguys,3.32727E+12,menguys beurre de cacahuetes creamy
sidi ali,6.11104E+12,eau minerale
harrys,3.22886E+12,100 mie complet 500g
lumondelez,7.6222E+12,figolu
warburtons,5.01004E+12,crumpets
cuetara krit,8.43417E+12,krit krititas galletas saladas
star,6.11118E+12,star mayonnaise
bjorg,3.22982E+12,bjorg amande almond sans sugres no sugar
gullon,8.41038E+12,digestive avena choco
gullon,8.41038E+12,chip choco zero sin azucares
delicia,6.11116E+12,delicia  confiture dabricot
primevere,3.15525E+12,tartine doux
proactiv,8.7192E+12,proactiv margarine tartine
alpro,5.41119E+12,delicieuse  tropical coco
jaouda,6.11124E+12,flan caram jao dan
st hubert st hubert omega 3,3.36632E+12,omega 3r doux
nature valleygeneral mills,8.41008E+12,crunchy avoine et miel
cocacola,90338243,cocacola original taste
biotiful gut health,5.06034E+12,kefir drink original
danone,6.11103E+12,yaourt nature
jasons,5.02513E+12,no 6 sourdough majestic malted
gerblegerble vitalitenutrition  sante,3.17568E+12,biscuit lait chocolat
alpro,5.41119E+12,natur mit kokosnuss
bjorg,3.22982E+12,muesli superfruits raisins cassiscranberry myrtille
storck,4.0144E+12,toffifee
the coconut collab,6.8057E+11,fermented coconut yoghurt alternative
kiri,6.11103E+12,kiri carre 8p
general millsnature valley,8.41008E+12,crunchy avoine  chocolat noir x 5 x 2 barres de 21 g
specially selected,4.0886E+12,dark rye sourdough
azura,3.50418E+12,tomates cerises allongees
gerble,3.17568E+12,cookie cacao pepites sans sucre
amora,8.72018E+12,amora moutarde forte bocal 430g
yeo valley,5.03659E+12,organic natural yoghurt
fage,5.20105E+12,fage total 0 yogurt
ramonas,5.06023E+12,ramonas heavenly houmous
perly,6.11127E+12,perly fromage
kelloggs,3.15947E+12,corn flakes
lotus,5.41013E+12,biscoff
tesco,5.0597E+12,dark milk chocolate
heudebert,3.39246E+12,biscottes 6 cereales
gerble,3.17568E+12,biscuit soja orange
mcvitiesunited biscuits,5.00017E+12,sables anglais loriginal
belvita,16811207,petit dejeuner miel et pepites de chocolat
sainsburys taste the difference,1318180,multiseed wholemeal farmhouse loaf
bjorg,3.22982E+12,ptit nature complet
evian,3.06832E+12,eau minerale naturelle
oatly,7.39438E+12,haferdrink barista
lindt,3.04692E+12,excellence a la pointe de fleur de sel noir
ferrero,3.01762E+12,pate a tartiner nutella noisettes et cacao  750g
barilla,8.0768E+12,spaghetti ndeg 5
lindt,3.04692E+12,excellence noir corse 78 cacao
oasisorangina schweppes france,3.12448E+12,pet 2l oasis tropical
pringles,5.05399E+12,kartofelnye chipsy so vkusom pariki
harrys,3.22886E+12,brioche moins de sucre
danette,6.11103E+12,danette chklat
poulain,3.66435E+12,pate a tartiner
tesco finest,5.05797E+12,white sourdough
danone,6.11103E+12,double zero cerise
heinz,8.7157E+12,tomato ketchup bio
lidlprimadona,4.05649E+12,huile dolive vierge extra
sprite,5.449E+12,sprite
efor,6.11125E+12,vinaigre de table blanc
fleury michon,3.30274E+12,les tranches vege  lentilles corail
la boulangere,3.76005E+12,pain de mie bio grandes tranches cereales  graines 500g
isabel,8.41011E+12,atun
quaker,3.16893E+12,flocons davoine complete
lu pelletier,3.01776E+12,pain grille au ble complet
st moret,3.27277E+12,st moret
alvalle,3.16893E+12,alvalle gazpacho loriginal
ideal,6.11118E+12,cacao
milbona,4.05649E+12,high protein chocolate flavour pudding
kelloggs pringles,5.05399E+12,pringles original
crosta  mollica,5.0602E+12,organic piadina 4 wholeblend flatbreads with extra virgin olive oil
kallo,5.01367E+12,lentil  pea veggie cakes  beetroot  balsamic
star moutarde de dijon,6.11118E+12,star moutarde
macao,6.11103E+12,chocolat monogram
bjorg,3.22982E+12,fourres chocolat au lait
pringles pringles original,5.05399E+12,pringles
jordans,5.01048E+12,country crisp 4 noix
bruggen,4.00871E+12,copos de avena
aicha,6.11102E+12,double concentre de tomates
maizena unilever,8.7121E+12,maizena fleur de mais sans gluten 400g
maitre jean pierre,4.05649E+12,petit pains grilles ble complet
aiguebelle,6.11102E+12,caobel
nestle nesquik,7.61304E+12,nesquik moins de sucres
cassegrain,3.08368E+12,ratatouille cuisinee a la provencale cassegrain 380g
brooklea,4.0886E+12,authentic greek yogurt
danone,6.11103E+12,dan up
delicia,6.11116E+12,delicia
meridian meridian foods,5.01421E+12,crunchy peanut butter
kerrygold,5.00017E+12,pure irish butter
stokes,5.06009E+12,real mayonnaise
tesco,5.0514E+12,chickpeas in water
dark excelente,8.41051E+12,chocolate negro
leroux,3.06714E+12,chicoree soluble nature
star,6.11118E+12,star moutarde 200 g
ice,6.11124E+12,ice
materne pompotes sans sucres ajoutes,3.02177E+12,pompotes compotes gourdes pomme nature 1x90g
nestle ricore,7.61303E+12,chicoree  cafe ricorer loriginal boite de 260g
lindt,3.04692E+12,lindt excellence 100 cocoa
joly,6.11116E+12,joly thon entier
cote dor mondelez,7.62221E+12,180g c or noir noisette
dorset cereals,5.01836E+12,simply nutty muesli
aicha,6.11102E+12,aicha tomato paste
hacendado,8.402E+12,muesli crunchy
nestle le chocolat,3.03371E+12,le choco
hp foods,5.00011E+12,hp sauce original imp
crosta  mollica,5.0602E+12,classic torinesi breadsticks
harrys,3.22886E+12,harrys pain de mie 100 mie nature sans croute 500g
la boulangere,3.76005E+12,pain de mie grandes tranches toastiligne complet
danone,6.11103E+12,danone zero sucre ajoute zero matiere grasse
danone,6.11103E+12,activia cereales
st hubert,3.36632E+12,omega 3 doux tartine  cuisson
warburtons,5.01004E+12,wholemeal medium sliced
merchant gourmet,5.0181E+12,puy lentils  french green lentils
nestle,7.61329E+12,bitesize shredded wheat
lidl maribel,20000653,doce extra morango
sodebo,3.24227E+12,salade  compagnie manhattan poulet roti
pure via,3.32976E+12,poudre stevia
ferrero,8.0005E+12,nutella
anchor,5.00025E+12,anchor spreadable
nakd,5.06009E+12,barres de fruits secs  noix myrtilles
coop,5.00013E+12,hand finished seeded sourdough bread
bimo,6.11103E+12,tagger
gerble,3.17568E+12,gouter 4s saveur pommes
tesco,5.00012E+12,wheat biscuits
bio  me,5.07E+12,super seedy  nutty granola
nakd,5.06009E+12,protein cocoa hazelnut bars
flora,8.7192E+12,vegan spread
lucien georgelin,3.33072E+12,pate a tartiner noisette du lot et garonne cacao
hacendado,8.48E+12,digestive avena
hellmanns,5.00018E+12,majoneesi
lu,7.62221E+12,the  biscuits
gerble,3.25149E+12,gouter pepites de chocolat
st michel,3.17853E+12,petites madeleines
hacendado,8.43655E+12,kefir natural sabor suave
heinz,5.00016E+12,cream of tomato soup imp
eau minerale,6.11113E+12,ain saiss
cfrcoeur de lionsavencia,3.17658E+12,coulommiers doux et cremeux
cristaline,3.25438E+12,cristaline eau de source petillante 15l
tyrrells,5.06004E+12,sea salt  cider vinegar chips
nescafe,6.11102E+12,nescafe classic
heinz,5.00016E+12,heinz seriously good mayonnaise
bjorg,3.22982E+12,muesli avoine chocolat bio
sidi ali,9.11145E+12,eau minerale
nestle nestle waters vittel,7.61304E+12,eau minerale
heinz,87157277,tomato ketchup 910g
gullon,8.41038E+12,sandwich zero sin azucares anadidos
kinder,80761761,bueno white
finn crisp lantmannen cerealia as,6.4105E+12,finn crisp
lu,7.62221E+12,principe crema de chocolate
yeo valley,5.03659E+12,greek style yoghurt
co op,10001295,meat feast pizza
old el paso,8.41008E+12,6 wraps ble complet
alpro,5.41119E+12,fermentiertes sojaprodukt ungesusst
nestle nesquik,3.03371E+12,nesquik cacao
caprice des dieux,3.16171E+12,caprice des dieux
savencia st moret,3.27277E+12,le gout primeur format familial
pringles,5.05399E+12,sour cream  onion
lu mondelez napolitain,7.6222E+12,napolitain
solevita,4.05649E+12,shot de gingembre bio
tesco,5.00044E+12,malt wheats
proper,5.06028E+12,properchips sea salt lentil chips
aicha,6.11102E+12,double concentre de tomate
lactalis president,3.22802E+12,president camembert 250g
alpen,5.01003E+12,muesli
rigoni di asiago bio,8.05258E+12,nocciolata  pate a tartiner au cacao et noisettes
weetabix,5.01003E+12,crispy minis imp
lio,6.1111E+12,lio huile de table
brioche pasquier,3.18218E+12,grilletine au froment sans sucres ajoutes
nestlenesquik,8.44529E+12,nesquik
warburtons,5.01004E+12,seeded batch
tesco,5.00044E+12,semiskimmed 18 fat milk
andros,3.60858E+12,be nuts pate a tartiner cacahuete
gerble,3.17568E+12,biscuits pavot citron
pringles,5.05399E+12,pringles original
clover,5.0003E+12,63 fat spread with buttermilk
ryvita,5.01027E+12,the original crunchy rye breads
biotiful,5.06034E+12,kefir
nakd,5.06009E+12,blueberry muffin myrtilles
fage,5.20105E+12,5 greek yoghurt
lurpak,5.7409E+12,lurpak lighter
harrys,3.22886E+12,pain de mie american sandwich complet sans sucres ajoutes 600g
bimo,6.11103E+12,merendina big
