,brands,code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
1093,rigoni di asiago,8052575090247,nocciolata,544.0,2270.0,54.0,51.0,32.0,5.7,8.1,0.12,0.048,4.0,24.0,18.5,0.9444444444444444,High,High Sugar,Yes
1094,tilda,5011157888132,tilda steamed brown basmati rice,129.0,545.0,23.3,0.2,2.1,0.5,2.8,0.03,0.012,3.0,2.0,0.0,0.008583690987124463,Moderate,Low Sugar,No
1096,danone,6111032007968,creme caramel,66.25,276.572,7.04,5.3,1.24,0.7,5.25,0.09,0.036,4.0,0.0,0.0,0.7528409090909091,Low,Moderate Sugar,Yes
1098,maroc,6111162001416,delicia,91.0,380.744,18.35,0.09,0.0,0.0,4.13,0.0,0.0,4.0,0.0,0.0,0.004904632152588555,Low,Low Sugar,Yes
1099,be,6111259346352,cooky,448.96,1878.43,57.67,34.9,22.19,11.9,4.64,0.27,0.108,4.0,25.0,0.0143750000000011,0.605167331368129,High,High Sugar,Yes
1100,vemondo,4056489997511,bio hafer,35.0,148.0,5.6,3.3,1.2,0.2,0.0,0.08,0.032,4.0,4.0,0.0,0.5892857142857143,Low,Low Sugar,Yes
1101,nutella ferrero,8000500426494,nutella plantbased,534.0,2229.0,53.4,45.4,31.8,11.0,6.8,0.071,0.0284,4.0,29.0,23.2,0.850187265917603,High,High Sugar,Yes
1102,lactel,3252210390014,,46.0,193.0,4.8,4.8,1.5,1.0,3.3,0.11,0.044,1.0,-1.0,0.0,1.0,Low,Low Sugar,No
1103,isigny saintemere,3254550006013,creme sous pression a la vanille 250g,313.0,1311.0,11.0,11.0,29.0,21.0,2.1,0.07,0.028,4.0,19.0,0.0,1.0,High,Moderate Sugar,Yes
1104,cote dor,7622210995063,180g lt noisette cote d or,555.0,2322.12,45.0,43.0,36.0,14.0,9.3,0.18,0.072,4.0,26.0,24.0,0.9555555555555556,High,High Sugar,Yes
1105,jacquet,3029330022411,maxi tranches sans sucre ajoute nature,249.0,1054.0,46.0,4.5,2.8,0.3,8.3,1.1,0.44,4.0,5.0,7.33333333333334,0.09782608695652174,Moderate,Low Sugar,Yes
1106,orangina schweppesschweppes,5410221305085,schweppes agrum,19.0,79.49600000000001,4.5,0.01,0.0,0.0,0.0,3.935,1.574,4.0,24.0,2.2,0.0022222222222222222,Low,Low Sugar,Yes
1107,pierre martinet,3281780893915,mon taboule oriental,183.0,766.0,25.0,5.4,6.7,0.8,4.5,0.9,0.36,3.0,6.0,43.3537726151316,0.21600000000000003,Moderate,Moderate Sugar,No
1108,alesto,4056489033042,noisettes grillees,722.0,2977.0,3.5,3.5,70.5,6.8,14.3,0.03,0.012,1.0,-8.0,100.0,1.0,High,Low Sugar,No
1109,hacendado,8480000235794,ketchup,115.0,488.0,27.0,20.5,0.0,0.0,1.3,1.8,0.72,4.0,13.0,65.65,0.7592592592592593,Moderate,High Sugar,Yes
1110,tesco,5054775188239,tesco british salted block butter,745.0,3117.08,0.6,0.6,82.2,52.1,0.6,1.475,0.59,2.0,26.0,0.0,1.0,High,Low Sugar,No
1111,post,884912005502,grapenuts,362.0,1516.0,68.0,8.9,1.8,0.3,11.2,1.0,0.4,3.0,1.0,0.0,0.13088235294117648,High,Moderate Sugar,No
1112,nairns,61232202556,dark chocolate chip oat biscuits,454.0,1902.0,63.8,19.0,16.9,7.7,8.1,0.775,0.31,4.0,16.0,0.0,0.29780564263322884,High,High Sugar,Yes
1113,milbona,4056489491217,skyr,93.0,389.112,6.0,6.0,0.3,0.2,16.5,0.1975,0.079,1.0,-3.0,0.0,1.0,Low,Moderate Sugar,No
1114,sainsburys,1784060,so organic mayonnaise,695.0,2907.88,6.7,2.3,73.8,8.3,1.1,0.83,0.332,3.0,20.0,0.0,0.34328358208955223,High,Low Sugar,No
1115,perly,6111266960343,perly,514.0,2152.0,6.0,0.0,50.0,15.2,10.0,1.6,0.64,4.0,19.0,0.0,0.0,High,Low Sugar,Yes
1116,cebon,6132500711040,el mordjene creme de noisettes grillees,555.0,2322.12,43.56,43.56,36.57,36.57,8.44,0.29,0.116,4.0,24.0,10.7142857142857,1.0,High,High Sugar,Yes
1117,president,3155251205524,beurre,745.0,3063.0,1.0,1.0,82.0,57.0,0.7,0.03,0.012,3.0,20.0,0.0,1.0,High,Low Sugar,No
1118,poulain,3664346306003,grand arome 32 de cacao,72.0,302.0,9.8,9.5,1.8,1.1,3.7,0.11,0.044,4.0,10.0,0.0,0.9693877551020408,Low,Moderate Sugar,Yes
1119,bonne maman,3608580823445,fraise intense,162.0,688.0,39.0,39.0,0.1,0.0,0.5,0.0,0.0,4.0,11.0,76.28125,1.0,Moderate,High Sugar,Yes
1120,bjorg,3229820786605,crousti avoine chocolat,416.0,1747.0,60.0,14.0,13.0,4.4,10.0,0.1,0.04,4.0,7.0,0.450000000000003,0.23333333333333334,High,Moderate Sugar,Yes
1121,amora unilever,8712100731822,amora specialite a la moutarde de dijon aux epices et aromates savora bocal 385g,124.0,513.0,15.0,5.9,4.8,0.3,3.8,4.7,1.88,3.0,22.0,-0.0664062500000009,0.39333333333333337,Moderate,Moderate Sugar,No
1122,fuze tea,5449000232311,fuzetea the glace peche intense,19.0,79.0,4.4,4.3,0.0,0.0,0.0,0.03,0.012,4.0,8.0,0.1,0.9772727272727272,Low,Low Sugar,Yes
1123,pasquier,3182180002542,grilletine sans sucres ajoutes ble complet,411.0,1690.0,61.0,2.1,10.0,2.4,13.0,0.9,0.36,4.0,6.0,0.0,0.03442622950819672,High,Low Sugar,Yes
1124,lea  perrins,5000111041836,worcestershire sauce,96.0,405.0,21.0,18.8,0.9,0.4,0.8,2.9,1.16,4.0,20.0,1.73522727272726,0.8952380952380953,Low,High Sugar,Yes
1125,sainsburys,1206111,greek style natural yogurt,103.0,430.952,4.2,4.2,7.6,5.1,4.0,0.0975,0.039,1.0,6.0,0.0,1.0,Moderate,Low Sugar,No
1126,centrale danone,6111032007128,jibi,77.0,322.0,12.3,7.1,1.6,1.1,3.3,0.0,0.0,1.0,-2.0,0.0,0.5772357723577235,Low,Moderate Sugar,No
1127,excelo,6111259344129,sergio,533.0,2230.0,8.2,54.8,24.63,5.37,2.7,0.04,0.016,4.0,26.0,10.9375,6.682926829268293,High,High Sugar,Yes
1128,tesco,5059697684616,peru dark chocolate,63.0,264.0,2.0,1.3,5.4,3.3,1.0,0.01,0.004,4.0,15.0,0.0,0.65,Low,Low Sugar,Yes
1130,orangina,3249760000654,orangina,41.0,174.0,9.7,9.6,0.1,0.0,0.1,0.01,0.004,4.0,11.0,27.0,0.9896907216494846,Low,Moderate Sugar,Yes
1131,lotus bakeries lotus,5410126806069,lotus biscoff speculoos original  250g 2x125g,484.0,2032.0,72.6,38.1,19.0,8.0,4.9,0.92,0.368,3.0,28.0,6.175,0.5247933884297521,High,High Sugar,No
1132,cote dormondelez,7622400006753,noir 70 intense,601.0,2489.0,32.0,28.0,47.0,29.0,7.1,0.02,0.008,4.0,20.0,0.0,0.875,High,High Sugar,Yes
1133,lidlsondey,4056489369134,biscuits germe de ble et pepites de chocolat,467.0,1956.0,65.0,21.0,18.0,2.8,9.1,0.69,0.276,4.0,14.0,15.25,0.3230769230769231,High,High Sugar,Yes
1134,storck,4014400901191,merci finest selection assorted chocolates,563.0,2355.592,49.9,48.0,36.1,19.9,7.8,0.17,0.068,4.0,30.0,7.2,0.9619238476953909,High,High Sugar,Yes
1135,bonduelle,3083681148619,carottes rapees,73.0,301.0,5.5,4.5,4.5,0.3,1.0,0.71,0.284,4.0,4.0,0.0,0.8181818181818182,Low,Low Sugar,Yes
1136,herta le bon paris,3154230810131,herta le bon paris jambon sel reduit sans nitrite x4140g,112.8,476.4,0.8,0.0,2.4,1.0,22.0,1.375,0.55,4.0,5.0,0.0,0.0,Moderate,Low Sugar,Yes
1138,jasons,5025125000174,everyday tiger rolls with sourdough,200.0,836.8000000000001,40.3,2.8,0.5,0.1,7.3,0.6875,0.275,4.0,5.0,0.0453404017857153,0.06947890818858561,Moderate,Low Sugar,Yes
1139,lesieur,3265474000018,huile isio 4,900.0,3700.0,0.0,0.0,100.0,9.0,0.0,0.0,0.0,2.0,2.0,47.0,,High,Low Sugar,No
1140,malo,3278693504076,empresure au chocolat,107.0,454.0,17.0,17.0,1.8,1.1,5.8,0.22,0.088,3.0,5.0,0.0,1.0,Moderate,High Sugar,No
1141,san pellegrino nestle,8002270116544,san pellegrino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.00312,1.0,0.0,0.0,,Low,Low Sugar,No
1142,hacendado,8480000141583,tortitas de maiz,368.0,1562.0,80.0,1.0,1.8,0.4,7.5,0.7,0.28,3.0,4.0,0.0,0.0125,High,Low Sugar,No
1143,alpro,5411188128311,coco sans sucres,14.0,59.0,0.0,0.0,1.2,1.1,0.1,0.07,0.028,4.0,2.0,14.1,,Low,Low Sugar,Yes
1144,crownfield,20060831,premium fruit and nut muesli,177.0,740.568,27.2,11.1,5.2,2.1,4.0,0.02,0.008,4.0,10.0,50.0,0.40808823529411764,Moderate,Moderate Sugar,Yes
1145,leka c,6111195016937,creme a tartiner,537.0,2243.0,60.6,30.0,30.2,5.0,3.6,2.0,0.8,4.0,27.0,1.40625,0.49504950495049505,High,High Sugar,Yes
1146,milka,7622210834713,milka wholenut,555.0,2322.12,49.0,47.0,36.0,15.0,8.1,0.3,0.12,4.0,30.0,0.246609933035717,0.9591836734693877,High,High Sugar,Yes
1147,aldiacti leaf,4061459329834,oat,49.0,205.016,6.2,2.6,2.4,0.2,0.6,0.0375,0.015,4.0,5.0,5.0,0.41935483870967744,Low,Low Sugar,Yes
1148,nakd,5060088700099,nakd peanut butter protein bar,443.0,1851.0,39.3,26.8,21.9,3.9,17.4,0.3725,0.149,4.0,10.0,99.0,0.6819338422391859,High,High Sugar,Yes
1149,fine gourmandepoulain,3664346306621,100g poulain ligne nr,539.0,2226.0,34.0,0.5,44.0,27.0,7.6,0.01,0.004,4.0,11.0,0.0,0.014705882352941176,High,Low Sugar,Yes
1150,heinz,8715700421353,tomato ketchup,102.0,435.0,23.2,22.8,0.1,0.1,1.2,1.8,0.72,3.0,13.0,60.9,0.9827586206896552,Moderate,High Sugar,No
1151,red bull hll,9002490205973,25 cl red bull  energy drink,46.0,195.0,11.0,11.0,0.0,0.0,0.0,0.1,0.04,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
1152,milbona,4056489216155,high protein pudding vanilla,150.0,627.6,10.4,8.0,3.0,2.0,20.0,0.6,0.24,4.0,-2.0,0.0,0.7692307692307692,Moderate,Moderate Sugar,Yes
1153,alesto,20534455,abricot sec,58.0,242.672,13.0,9.6,0.087,0.029,0.609,0.05,0.02,3.0,7.0,62.5,0.7384615384615384,Low,Moderate Sugar,No
1154,nature valley,8410076901026,barre cereales proteines peanut chocolat,492.0,2045.0,22.9,15.4,30.1,8.8,25.6,0.95,0.38,4.0,14.0,42.0833333333333,0.6724890829694323,High,High Sugar,Yes
1155,babybel,3073780918763,babybel,295.0,1225.0,0.01,0.01,23.0,15.5,22.0,1.7,0.68,3.0,14.0,0.0,1.0,High,Low Sugar,No
1156,dorset cereals,5018357804764,nutty granola,199.0,832.616,27.9,5.9,7.0,0.9,4.6,2.5e-05,1e-05,4.0,2.0,12.875,0.21146953405017924,Moderate,Moderate Sugar,Yes
1158,jaouda,6111266960725,muscly fromage 24,3.0,12.552,8.0,8.0,8.0,8.0,8.0,8.0,3.2,4.0,4.0,0.0,1.0,Low,Moderate Sugar,Yes
1159,or blanc,6111245340487,,226.0,945.584,6.5,5.9,18.0,12.0,9.5,4.25,1.7,4.0,30.0,0.0,0.9076923076923078,Moderate,Moderate Sugar,Yes
1162,bjorg,3229820019192,pain complet 3 cereales,196.0,824.0,32.0,2.0,2.9,0.4,5.0,1.1,0.44,3.0,0.0,0.0,0.0625,Moderate,Low Sugar,No
1163,barilla,8076809529419,pates spaghetti au ble complet integral 500g,347.0,1466.0,64.0,3.5,2.5,0.5,13.0,0.01,0.004,1.0,-5.0,0.0,0.0546875,High,Low Sugar,No
1164,savenciast moret,3272770096942,le gout primeur  ligne  plaisir,67.32,281.66688,2.55,2.55,4.08,2.805,5.1,0.51,0.204,4.0,7.0,0.0,1.0,Low,Low Sugar,Yes
1165,mcennedy,20474478,peanut butter,653.0,2703.0,12.0,5.1,55.6,7.6,23.1,0.6,0.24,4.0,-4.0,85.0,0.425,High,Moderate Sugar,Yes
1166,freshona,20103644,kokosmilch,183.0,765.672,3.2,1.8,18.0,16.4,1.6,0.0775,0.031,1.0,7.0,91.0,0.5625,Moderate,Low Sugar,No
1167,galbani,8000430133035,mozzarella,238.0,989.0,2.0,1.0,18.0,13.0,17.0,0.7,0.28,3.0,9.0,0.0,0.5,Moderate,Low Sugar,No
1168,hacendado,8480000229663,corn flakes 0 azucares anadidos,373.0,1583.0,82.0,0.9,1.1,0.4,6.7,1.0,0.4,3.0,4.0,0.0,0.010975609756097562,High,Low Sugar,No
1169,mcennedy american way lidl mcennedy,4056489424918,beurre de cacahouete,651.0,2723.784,15.8,6.7,51.0,12.2,30.2,0.905,0.362,3.0,11.0,94.0,0.4240506329113924,High,Moderate Sugar,No
1170,chavroux,3272770016131,chavroux pur chevre,162.0,673.0,2.6,2.6,13.0,9.0,8.7,1.0,0.4,3.0,11.0,0.0,1.0,Moderate,Low Sugar,No
1171,nature valley,8410076600790,nature valley crunchy oats  honey,467.0,1960.0,64.3,26.8,18.1,2.2,8.7,0.85,0.34,4.0,14.0,0.0,0.416796267496112,High,High Sugar,Yes
1172,new york bakery co,5020364010144,cinnamon  raisin bagels,231.0,966.504,43.9,8.8,1.8,0.2,7.8,0.4825,0.193,4.0,3.0,6.568,0.20045558086560367,Moderate,Moderate Sugar,Yes
1173,proactiv,8719200255333,proactiv,314.0,1294.0,0.5,0.5,35.0,7.6,0.5,0.8,0.32,4.0,7.0,14.55,1.0,High,Low Sugar,Yes
1174,warburtons,5010044010144,soft pittas easy to fill wholemeal,151.0,635.0,25.2,2.5,1.4,0.4,7.5,0.57,0.228,4.0,1.0,0.455226665296052,0.09920634920634921,Moderate,Low Sugar,Yes
1175,dorset cereals,5018357804849,oat granola,442.0,1857.0,62.5,16.5,16.4,1.7,8.7,0.03,0.012,4.0,5.0,5.04166666666667,0.264,High,High Sugar,Yes
1176,excelo,6111259341272,genova  double creme,196.1,820.4824,60.08,42.0,1.76,9.58,5.23,0.27,0.108,4.0,24.0,0.3515625,0.6990679094540613,Moderate,High Sugar,Yes
1177,excelo,6111259344013,bono wafer,508.0,2125.472,51.5,29.5,31.0,15.0,6.4,0.03,0.012,4.0,24.0,0.65625,0.5728155339805825,High,High Sugar,Yes
1179,lu mondelez,3041090061615,batonnets de cereales fourres 475  au chocolat  cracotte chocolat,152.0,635.9680000000001,22.0,10.0,5.4,1.7,2.5,0.0875,0.035,4.0,17.0,7.5,0.45454545454545453,Moderate,Moderate Sugar,Yes
1180,snickers,5000159461122,,481.0,2018.0,60.5,51.8,22.5,7.9,8.6,0.62875,0.2515,4.0,29.0,22.5,0.8561983471074379,High,High Sugar,Yes
1181,president,3155250349793,la creme des chefs ferme et onctueuse gastronomique,305.0,1260.0,11.0,11.0,28.0,20.0,2.2,0.07,0.028,4.0,19.0,0.0,1.0,High,Moderate Sugar,Yes
1182,cassegrain,3083680613576,lentilles preparees,91.0,384.0,12.5,0.5,0.5,0.1,7.0,0.76,0.304,4.0,-4.0,92.1091627562361,0.04,Low,Low Sugar,Yes
1183,fruit dor,8719200031449,fruit dor omega 3 doux  sans huile de palme  450g,450.0,1850.0,0.1,0.0,50.0,10.0,0.0,0.5,0.2,4.0,7.0,0.0,0.0,High,Low Sugar,Yes
1184,old el paso,8410076481597,tortilla nachips original,147.0,615.048,17.7,0.2,7.1,0.7,2.3,0.1475,0.059,3.0,4.0,0.0,0.01129943502824859,Moderate,Low Sugar,No
1185,geetas foods ltd,5021185201223,geetas mango chutney imp,255.0,1081.0,62.0,57.0,0.5,0.1,0.8,2.0,0.8,3.0,26.0,57.0,0.9193548387096774,High,High Sugar,No
1186,tesco,5057545745946,chopped tomatoes,44.0,184.096,7.6,7.6,0.2,0.1,2.2,0.1375,0.055,1.0,-4.0,90.0,1.0,Low,Moderate Sugar,No
1187,plenish,5060362071709,organic glutenfree oat drink,33.0,138.0,6.6,3.8,0.3,0.1,0.6,0.08,0.032,3.0,5.0,0.0,0.5757575757575758,Low,Low Sugar,No
1188,tesco,5000119118615,italian tomato puree,84.0,351.456,14.0,14.0,0.3,0.1,4.7,0.3925,0.157,1.0,1.0,75.0,1.0,Low,Moderate Sugar,No
1189,richmond,5000342000398,meat free tasty sausages,148.0,616.0,12.0,0.5,6.0,4.4,8.7,1.5,0.6,4.0,11.0,0.0154495239257812,0.041666666666666664,Moderate,Low Sugar,Yes
1190,aiguebelle,6111017046043,tentation aiguebelle,582.0,2435.088,15.0,10.5,49.6,29.8,10.0,0.03,0.012,4.0,20.0,0.0,0.7,High,Moderate Sugar,Yes
1191,kelloggs,5059319029016,special k,392.0,1660.0,84.0,15.0,1.3,0.3,8.0,0.84,0.336,3.0,9.0,0.0,0.17857142857142858,High,Moderate Sugar,No
1192,sainsburys,363174,seeded sourdough half bloomer,283.0,1184.072,46.1,3.1,5.4,1.1,10.7,0.83,0.332,4.0,3.0,1.915,0.06724511930585683,High,Low Sugar,Yes
1193,jordans,5010477356239,muesli bio chocolat noir,398.0,1672.0,61.1,8.9,11.0,3.1,9.1,0.03,0.012,4.0,5.0,0.0,0.14566284779050737,High,Moderate Sugar,Yes
1194,barilla,8076809573252,baiocchi nocciola 260g,510.0,2133.0,59.0,23.0,26.0,5.0,8.0,0.6,0.24,4.0,17.0,7.1,0.3898305084745763,High,High Sugar,Yes
1195,cendado,8480000205599,yogur natural al estilo griego,103.2,540.0,3.12,3.12,8.64,5.36,3.12,0.0,0.0,3.0,5.0,0.0,1.0,Moderate,Low Sugar,No
1196,amora,8711200547982,,648.0,2711.0,1.6,1.5,70.0,5.6,1.2,1.8,0.72,4.0,9.0,19.9,0.9375,High,Low Sugar,Yes
1197,gullon,8410376033267,digestive avena,438.0,1835.0,65.0,0.7,18.0,1.8,7.7,0.75,0.3,4.0,3.0,0.0,0.010769230769230769,High,Low Sugar,Yes
1198,alesto lidl,20005726,nut  fruit mix classic,534.0,2234.2560000000003,33.8,30.9,36.9,4.6,13.7,0.02,0.008,1.0,14.0,100.0,0.9142011834319527,High,High Sugar,No
1199,crownfield fortin muhlenwerke lidl,20283360,fiocchi di avena integrali,372.0,1566.0,58.7,0.7,7.0,1.3,13.5,0.03,0.012,1.0,-5.0,0.0,0.011925042589437818,High,Low Sugar,No
1200,mcilhenny company tabasco,11210697003,sriracha,121.0,512.0,27.0,19.0,0.5,0.1,2.1,6.7,2.68,4.0,26.0,8.0,0.7037037037037037,Moderate,High Sugar,Yes
1201,unilever,6111005210111,,35.0,150.0,9.0,0.0,0.1,0.0,0.1,0.0175,0.007,2.0,4.0,0.0,0.0,Low,Low Sugar,No
1202,linda mccartneys,5056053304706,vegetarian sausages,154.0,644.336,8.9,0.1,5.5,1.7,16.0,1.3,0.52,4.0,-1.0,10.96875,0.011235955056179775,Moderate,Low Sugar,Yes
1203,sainsburys greencane paper,1162622,chickpeas in water,146.0,610.864,27.3,0.6,1.7,0.2,9.2,0.03,0.012,1.0,-7.0,80.0,0.021978021978021976,Moderate,Low Sugar,No
1204,delicia,6111162001188,delicia  confiture dabricot,272.0,1157.0,67.36,50.0,0.12,0.0,0.41,0.0,0.0,3.0,0.0,66.6666666666667,0.7422802850356295,High,High Sugar,No
1206,tropicana,3502110009449,orangensaft,40.0,182.0,8.9,8.9,0.0,0.0,0.8,0.0,0.0,1.0,4.0,100.0,1.0,Low,Moderate Sugar,No
1207,panzani,3038359004544,sauce tomate concentree cuisinee aux petits legumes,137.0,572.0,14.0,9.3,7.3,0.5,2.8,2.9,1.16,4.0,16.0,59.575,0.6642857142857144,Moderate,Moderate Sugar,Yes
1208,ferrero,8000500227848,bready 6 pieces,521.0,2177.0,60.7,47.1,27.0,9.5,7.2,0.559,0.2236,4.0,30.0,13.0,0.7759472817133443,High,High Sugar,Yes
1209,delisse marque repere leclerc,3564700005552,,47.0,195.0,4.8,4.8,1.6,1.0,3.3,0.1,0.04,4.0,-1.0,0.0,1.0,Low,Low Sugar,Yes
1210,hacendado,8480000095718,trigo espelta,364.0,1529.0,66.0,1.9,2.7,0.2,14.6,0.78,0.312,3.0,-4.0,0.0,0.028787878787878786,High,Low Sugar,No
1211,mcennedy,20177492,sciroppo dacero canadese,349.0,1482.0,87.2,81.5,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.9346330275229358,High,High Sugar,No
1212,le fromage fouette madame loik paysan breton,3412290070385,paysan breton  le fromage fouette madame loik  nature au sel de guerande  sel reduit 25,252.0,1039.0,3.0,3.0,24.0,17.0,5.9,0.6,0.24,3.0,13.0,0.0,1.0,High,Low Sugar,No
1213,carrs,5000168001104,table water biscuits,417.0,1744.728,74.7,0.899,7.7,3.3,10.1,0.392725,0.15709,3.0,3.0,0.0,0.012034805890227577,High,Low Sugar,No
1214,blue dragon,5010338014339,coconut milk,143.0,598.312,2.1,1.4,15.0,12.0,0.6,0.1475,0.059,4.0,19.0,56.0,0.6666666666666666,Moderate,Low Sugar,Yes
1215,yeo valley organic,5000246728800,spreadable,632.0,2600.0,0.5,0.5,70.0,28.0,0.5,1.3,0.52,3.0,23.0,29.0,1.0,High,Low Sugar,No
1216,jaouda,6111242102361,raib vani jaouda,81.0,338.904,13.0,11.0,2.0,1.0,3.0,1.0,0.4,4.0,7.0,0.0,0.8461538461538461,Low,Moderate Sugar,Yes
1217,nesquik,7613287366665,nesquik cereal,373.0,1560.632,73.6,22.4,3.0,0.9,8.4,0.45,0.18,3.0,10.0,0.0,0.30434782608695654,High,High Sugar,No
1218,tuc,7622202025587,tuc,483.0,2028.0,68.0,5.2,19.0,8.7,8.1,1.9,0.76,4.0,24.0,0.0,0.07647058823529412,High,Moderate Sugar,Yes
1219,lu,5410041005707,pims sinaasappel,397.0,1670.0,66.0,48.0,13.0,5.8,3.3,0.44,0.176,4.0,24.0,8.12555803571428,0.7272727272727273,High,High Sugar,Yes
1220,lactalis president,3228021170053,la buche fondante,275.0,1140.0,0.5,0.5,23.0,16.0,17.0,1.5,0.6,3.0,14.0,0.0,1.0,High,Low Sugar,No
1221,marque repere laqueuille,3564700371107,eau de source de montagne laqueuille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6,1.0,0.0,0.0,,Low,Low Sugar,No
1222,saguaro,20022952,eau de source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,3.7,1.0,0.0,0.0,,Low,Low Sugar,No
1223,harrys,3228857001101,beau  bon pain de mie complet lin tournesol 320g,303.0,1273.0,41.0,3.5,9.0,1.0,11.0,0.9,0.36,4.0,0.0,2.10000000000001,0.08536585365853659,High,Low Sugar,Yes
1224,heinz,87157154,classic barbecue  smokey  rich,138.0,584.0,34.0,29.0,0.2,0.1,0.9,1.2,0.48,4.0,14.0,0.210572916666663,0.8529411764705882,Moderate,High Sugar,Yes
1225,gallina blanca,8410300349051,caldo casero de pollo,5.0,21.0,0.2,0.1,0.3,0.0,0.4,0.75,0.3,4.0,3.0,1.1,0.5,Low,Low Sugar,Yes
1226,kerrygoldornua deutschland,4001954161010,kerrygold original irische butter aus weidemilch,748.0,3076.0,0.7,0.7,82.5,56.0,0.7,0.02,0.008,2.0,20.0,0.0,1.0,High,Low Sugar,No
1227,guedila,6130758000022,guedila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,29.0,1.0,0.0,0.0,,Low,Low Sugar,No
1228,lindt,3046920021043,noir intense dessert 70,537.0,2246.808,36.0,30.0,37.0,22.0,9.0,0.1075,0.043,4.0,24.0,0.0,0.8333333333333334,High,High Sugar,Yes
1229,alpen weetabix,5010029219326,no added sugar muesli imp,369.0,1543.896,63.0,16.0,5.8,0.405,12.0,0.275,0.11,4.0,0.0,17.5,0.25396825396825395,High,High Sugar,Yes
1230,walkers,51000005,cheese  onion flavour potato crisps,514.0,2147.0,54.0,2.6,29.0,2.4,6.3,1.2,0.48,4.0,12.0,14.7058823529412,0.04814814814814815,High,Low Sugar,Yes
1231,milbona,4056489143833,krema sirene,243.0,1006.0,2.8,2.7,23.0,16.1,6.3,0.65,0.26,3.0,14.0,0.0,0.9642857142857144,Moderate,Low Sugar,No
1232,mivolis dm,4058172309519,multivitamin,214.0,921.0,17.0,0.5,0.5,0.3,0.5,19.1,7.64,4.0,3.0,0.0,0.029411764705882353,Moderate,Low Sugar,Yes
1233,jolydoha,6111162001102,thon joly,175.0,732.2,0.96,0.1,4.4,0.7,33.0,1.1684,0.46736,3.0,0.0,0.0,0.10416666666666667,Moderate,Low Sugar,No
1234,cake warburtons,5010044002378,farmhouse soft bread,104.0,435.136,19.2,0.9,1.0999999979,0.2,3.799999999,0.4125,0.165,4.0,4.0,0.18310546875,0.046875,Moderate,Low Sugar,Yes
1235,kind,5000159535267,dark chocolate nuts  sea salt bars,157.0,656.888,7.2,5.1,11.1,2.3,5.1,0.225,0.09,4.0,15.0,83.125,0.7083333333333333,Moderate,Moderate Sugar,Yes
1236,plenish,5060362071594,organic almond milk,26.0,108.784,0.4,0.2,2.2,0.2,0.9,0.0975,0.039,3.0,2.0,5.0,0.5,Low,Low Sugar,No
1237,gosh,5036829756328,mediterranean falafel,264.0,1096.0,18.0,3.5,16.0,1.0,7.6,1.4,0.56,3.0,1.0,84.6607967032967,0.19444444444444445,High,Low Sugar,No
1238,crosta  mollica,5060198645617,durum wheat flatbreads,299.0,1251.016,47.0,2.4,7.9,1.2,8.9,1.475,0.59,3.0,11.0,8.0,0.05106382978723404,High,Low Sugar,No
1239,gerble,3175681851863,biscuits soja figue,457.0,1914.0,56.0,15.0,19.0,1.9,12.0,0.02,0.008,4.0,2.0,19.7,0.26785714285714285,High,Moderate Sugar,Yes
1241,malongo,3187570015447,cafe moulu pur arabica des petits producteurs,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.0,0.0,1.0,0.0,0.0,,Low,Low Sugar,No
1242,schar,8008698005576,pan de molde clasico,233.0,981.0,43.0,3.3,3.4,0.4,3.5,0.99,0.396,4.0,0.0,0.0,0.07674418604651162,Moderate,Low Sugar,Yes
1243,gullon,8410376047578,digestive avena naranja,475.0,1989.0,60.0,18.0,21.0,2.6,8.1,0.965,0.386,4.0,12.0,0.8,0.3,High,High Sugar,Yes
1244,crownfield,4056489195917,fine oat flakes,364.0,1522.976,62.0,0.7,5.7,1.0,12.0,0.2225,0.089,4.0,7.5,0.0,0.01129032258064516,High,Low Sugar,Yes
1245,alpro,5411188134985,alpro not milk,59.0,248.0,5.7,0.0,3.5,0.4,0.7,0.12,0.048,4.0,5.0,12.5,0.0,Low,Low Sugar,Yes
1246,naturli,5701977000097,organic vegan block,665.0,2782.36,0.5,0.5,75.0,39.0,0.5,1.18,0.472,4.0,23.0,12.34125,1.0,High,Low Sugar,Yes
1247,gerble,3175681280502,le petit gerble nature,449.0,1878.616,68.0,18.0,14.0,1.3,10.0,0.19,0.076,3.0,8.0,23.3932032,0.2647058823529412,High,High Sugar,No
1248,tesco,5057545916049,cream crackers,443.0,1853.512,68.6,1.3,13.7,6.2,10.0,0.7875,0.315,3.0,14.0,0.0,0.018950437317784258,High,Low Sugar,No
